gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk6_median,median_IL10_KOTLS_median,FDR_BH
Tcea1,0.0095578312296578,0.1568627450980392,0.7926978841143436,-0.3731051030148925,-0.2394896573248851,-0.0495106529733605,0.6901866535657922,0.5846093307999235,0.2958315920008808
Tram1,0.0012730863420067,0.0333863238295691,0.3431319879068183,-28.882051947301832,-28.51880612049167,-26.423901184422256,0.3850643532323816,0.0,0.10766032905800924
Rpl7,0.1152655394141462,0.6238787012780821,1.0,-0.0288695566718626,0.0048887261617008,0.0373933286116244,3.0089076462640847,3.0157508632976624,0.7199687390740268
Eloc,0.2082876875446535,0.6784313725490196,1.0,-0.1772151862924576,-0.0496228823765324,0.0739495708351765,0.7252160070976545,0.6976177387018976,0.7323321701561981
Ogfrl1,0.0007335473709934,0.0027786850681888,0.037650276439806,-28.96538461395072,-27.85474449475304,0.0,0.2427247231938642,0.0,0.025508829589949433
Smap1,0.0978804477256489,0.64330403310901,1.0,-0.2057969026756379,-0.0350475376320852,0.1788236998452076,0.6608412707740807,0.6473832297617048,0.7323321701561981
Phf3,0.1152655394141462,0.6784313725490196,1.0,-0.221934438177512,-0.077726701367243,0.0826223801770143,0.6648317629774487,0.6276955565670543,0.7323321701561981
Ptpn18,3.135667222354531e-05,0.004096213384139,0.0573787409700722,-0.6644855404276834,-0.5443250587239103,-0.4275423602627228,1.4424821045867595,0.9910775544953536,0.030685630548903046
Neurl3,0.3053901722632373,0.7575324115669454,1.0,-0.2589052218828581,-0.0598610648730226,0.1896109719867453,0.8185976017024206,0.7791957580705879,0.7707693733267272
Cox5b,0.0001905215527506,0.0123997777248551,0.1813447646264983,-0.2119255609969891,-0.1348239074686796,-0.0462791198570561,1.7153060265242177,1.5632181824647748,0.05691609685417724
Tmem131,0.0001905215527506,0.0021592442645074,0.015860919266492,0.339375252566587,0.4926401312140746,0.7034737020966482,0.7738707514441625,1.089144981511825,0.02500306710833001
Mgat4a,0.0106046072675885,0.163532702145277,0.8450263631423363,-29.00970665313499,-28.37097042699012,0.1726210675783707,0.442218086526953,0.0,0.3057611440110775
Mrpl30,0.0007144558228149,0.038707628800508,0.343145193299992,-0.3839808914907444,-0.2617662403407172,-0.0884626419295228,0.7437784533940146,0.6177336382981499,0.11756504842836857
Txndc9,0.139432096005046,0.6837320643963538,1.0,-28.49364120128034,0.3408883763627905,28.720095063120088,0.111021609601768,0.207530967047716,0.7357159172332466
Eif5b,0.1813447646264983,0.7344923394458999,1.0,-0.1514683204656416,-0.0225938975759805,0.1417409944506656,1.052878835021875,1.0364996566631526,0.749947589073519
Pdcl3,0.1736964858864386,0.7249560728402249,1.0,-0.2983502987108183,0.0504648176225947,1.1604400136719963,0.5020195264827115,0.5149406595878392,0.749947589073519
Rpl31,0.004096213384139,0.1152655394141462,0.7344923394458999,-0.1045419359098242,-0.0550386616925737,-0.0186067172059228,2.3946505793008885,2.30636496720127,0.2406876734897848
Tbc1d8,0.0108361377218406,0.0694138010953858,0.4332017661499477,0.0,28.77424519595563,29.09818190457366,0.0,0.462854553333532,0.1712655286106492
Rnf149,0.0001720247930818,0.0027786850681888,0.0760268176569555,-28.951136076000623,-28.28774036074532,0.0,0.3276863544437487,0.0,0.025508829589949433
Map4k4,1.5876796062554575e-05,0.0001905215527506,0.004096213384139,0.194698142627619,0.3151703615796649,0.4228222543550414,1.2808419127903137,1.5913420141302526,0.007765658490114457
Il1r2,0.0001905215527506,0.0021592442645074,0.0201317774073192,0.2723901882930468,0.4034858826617402,0.5253542312040563,1.883386145969365,2.489795149311901,0.02500306710833001
Tpp2,0.0001720247930818,0.0043495700900777,0.1513756600246135,-28.936809761267867,-28.54365055254586,0.0,0.3912866231095775,0.0,0.032117477694124465
Nabp1,1.5876796062554575e-05,0.0019661778471308,0.0123997777248551,0.5588453939618123,0.8643476229372975,1.4609699287471452,0.6483385464469908,1.1813233964444851,0.024285275469409517
Stat4,0.0001111375724378,0.0022988170023958,0.0337983621149569,0.6517174009393485,0.8437713022813109,1.2732756020549338,0.5897250631315775,1.0594442704028224,0.025461897015666524
Stat1,0.0003016591251885,0.004096213384139,0.0314201794077955,-0.7244923599345311,-0.5696664583809237,-0.4070572981739718,1.6133256775737277,1.079886279329475,0.030685630548903046
Gls,0.0029848376597602,0.0314201794077955,0.2379772961816305,0.1237635787853985,0.2746411532566223,0.4485073229011939,0.6627893126801443,0.8016008842658515,0.10309180852237629
Nab1,0.2957527734135455,0.7855571560139146,1.0,-0.1898353372254071,0.0949962546820697,1.119817318600875,0.5099814109274852,0.5438004876762383,0.7932451605516622
Asnsd1,0.0027786850681888,0.009501095540355,0.1513756600246135,-28.4860225002218,-26.50357292493927,0.0,0.0951415972434687,0.0,0.04774230403441813
Stk17b,3.175359212510915e-05,0.004096213384139,0.0573787409700722,-0.4968845620603007,-0.3650036020673063,-0.2086743008612776,1.2593593189182737,0.9769385831904388,0.030685630548903046
Ankrd44,0.000277215933798,0.0051351318928053,0.1480467339740305,-29.27751714253484,-1.0311683934331068,-0.3214797816273584,0.6246515874181151,0.3055110090770895,0.036980207765149126
Sf3b1,0.0015241724220052,0.0252441057394617,0.2702706993728666,-0.1569425700440931,-0.0997283335750775,-0.0460827441084633,1.7517604369772974,1.6389385495859048,0.09121894946280663
Coq10b,0.0003016591251885,0.0095578312296578,0.1813447646264983,-0.644705922008672,-0.3794843603252616,-0.139119921166523,0.7820356084916185,0.6029527809811877,0.04774230403441813
Hspd1,0.015860919266492,0.2702706993728666,0.9115833661226544,-0.3991088398869148,-0.2050929801923062,-0.0289983255402874,0.7337280752063648,0.637447429861602,0.4309950589373256
Hspe1,0.0252441057394617,0.4268635389378423,0.9699293482575216,-0.0407479097731794,0.0711947158448882,0.1657621667776805,1.4565165348098963,1.5322082232934937,0.5934160247989922
Bzw1,0.0573787409700722,0.3053901722632373,0.910105580693816,-0.0055958577676071,0.1348853977619214,0.2735645590478568,0.8135657949281695,0.8962551083407718,0.4683108886926091
Clk1,0.0029848376597602,0.0978804477256489,0.6784313725490196,-0.300732183619308,-0.193122975290644,-0.0457865424114787,1.026917547751078,0.8985934489981976,0.21666451458194447
