gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_IL10_KOTLS_median,FDR_BH
Rpl7,0.0004763038818766,0.038707628800508,0.4268635389378423,-0.0950469577899204,-0.0473714526313704,-0.0099795439887379,3.3283557796555385,3.22144495714507,0.09085381122018348
Eloc,0.0027786850681888,0.037650276439806,0.2435871921094869,-29.627659435886297,-28.61171472245229,0.0,0.4101899868737971,0.0,0.09079685568258093
Smap1,0.0007335473709934,0.009501095540355,0.0298677932975399,-29.905967913851093,-28.868241458476252,0.0,0.4900118696866072,0.0,0.031240679763055043
Ptpn18,0.0010637453361911,0.0473446058585377,0.3441601174882899,-0.2736763765746327,-0.1793151378489693,-0.0817132870875118,1.6953190956370026,1.4973000351326513,0.10489793562443982
Cox5b,0.0061292096419454,0.1152655394141462,0.7920774787647853,-0.2475939655030415,-0.0978470345507412,0.015584909411604,1.34806832141898,1.2623127602023538,0.2035157180281019
Eif5b,0.2640489958279089,0.7675494509693419,1.0,-29.65761283604687,-0.2427041285643864,29.096918424338416,0.4231440357252937,0.354246375117303,0.7763831403027487
Rpl31,0.0003016591251885,0.0021592442645074,0.015860919266492,-0.2411249297261794,-0.181595798763176,-0.1230460874207937,2.5607318307969376,2.25708473615859,0.018470083100313787
Map4k4,0.0001720247930818,0.0007335473709934,0.009501095540355,-29.941159055003546,-29.44772610184603,-27.52817465470752,0.7322345661153813,0.0,0.010361356615281776
Il18r1,0.1818309083777154,0.5768654408307012,1.0,-0.0283258492779796,1.0126761694782236,30.23244076384707,0.595460130230545,1.225023453939666,0.6584423718572651
Stat4,0.1349368897356513,0.6784313725490196,1.0,-0.0897937923696492,0.0059769469232163,0.150442558161003,1.4595444406120626,1.463635411102055,0.7117230977271545
Stat1,0.0007335473709934,0.0027786850681888,0.0298677932975399,-29.863822767354858,-28.859465078465394,0.0,0.4870400177066942,0.0,0.018470083100313787
Gls,0.0065360274816589,0.0802713616470359,0.4821584291658949,0.3012991031075225,1.7191239736515749,30.08198313190428,0.3225702534320717,1.094553072600015,0.15486499283611072
Nab1,0.0001720247930818,0.0027786850681888,0.0137914079745855,-29.8282888108679,-29.237808926111285,-26.82852795328618,0.6330785867782468,0.0,0.018470083100313787
Stk17b,0.1349368897356513,0.5713582599031516,1.0,-0.0941369104707222,-0.0131197699985989,0.0570173425782561,1.884712711600324,1.8663238769800077,0.6540665227116926
Sf3b1,0.0824958323410335,0.5713582599031516,1.0,-0.0782681550707949,0.0145332502085655,0.1510926923411879,1.5264980570980948,1.5428796638297062,0.6540665227116926
Hspe1,0.1344451059776137,0.633591367193546,1.0,-0.1105584347330228,-0.0054528992565169,0.0990616841592998,1.3078255945047674,1.301524763838246,0.6922248224448825
Bzw1,0.107951344335968,0.395707125195179,0.967739567973502,-29.947228566261227,-29.569627033430574,-0.0037013823059563,0.9025134938007592,0.0,0.5175992341460591
Clk1,0.015860919266492,0.3837421608319441,0.9699293482575216,-0.2355766720525707,-0.0760399851611063,0.0717520033400154,1.5070071548256476,1.4275054209357476,0.5050583181665022
Sumo1,0.1813447646264983,0.6784313725490196,1.0,-0.1090673767004591,-0.0263766800581652,0.0958798978140129,1.30610135588869,1.282566825100655,0.7117230977271545
Cd28,0.0004763038818766,0.0314201794077955,0.3837421608319441,0.0292069397768112,0.1250036977798563,0.236445588733509,1.53575627710522,1.676787899138929,0.07742480346282318
Ctla4,0.0001111375724378,0.0054933714376438,0.0690958164642375,0.3117673777842926,0.5676858043457266,1.081066738418787,1.1285113422516428,1.6652641415410674,0.03103754862268747
Icos,0.0252441057394617,0.2082876875446535,0.910105580693816,-0.0150369484143498,0.0954070514535115,0.2200300100848349,2.050140552516526,2.190567678855565,0.31322349971068614
Eef1b2,0.0001905215527506,0.0201317774073192,0.2379772961816305,-0.1043654905677559,-0.0690137018351127,-0.0298061652348345,2.864971832295045,2.733425311564371,0.055874512032243806
Rpl37a,0.0201317774073192,0.1813447646264983,0.6784313725490196,-0.0552502485968301,-0.0398952302266756,-0.0247624479400248,4.073815525901296,3.9631256196704814,0.2817196940225832
Arpc2,0.1349368897356513,0.64330403310901,1.0,-0.0160486978226701,0.0202409388721604,0.0641014192052956,2.2836385639615173,2.3166387986064065,0.6980157615764429
Cab39,0.0007335473709934,0.009501095540355,0.088567502575371,-29.651515192277547,-28.34980326158732,0.0,0.3420906085696003,0.0,0.031240679763055043
Ncl,0.004096213384139,0.0824958323410335,0.343145193299992,0.0962081233044491,0.1670405070856682,0.2423689814478184,1.8485537492345188,2.0749394465256,0.15611053440611844
Ptma,0.0690958164642375,0.343145193299992,0.9699293482575216,-0.0035082559476331,0.0512027979228963,0.0896950744720326,2.778102251332905,2.8812806941086064,0.46797904810395463
Actr3,0.0061455131856455,0.1152655394141462,0.6784313725490196,-0.2478674235043123,-0.1573740917540185,-0.0456959108849888,1.3730315840880225,1.2292169439071474,0.2035157180281019
Ubxn4,0.0027171818924305,0.0385392543410508,0.2578029791508744,-30.043839650871742,-29.811921682117397,-28.99100753717656,0.9429841505690776,0.0,0.09085381122018348
Nucks1,0.0013981399053915,0.0252225734369385,0.254333053345994,-30.01168892325763,-29.87876965463246,-28.890440858700497,0.989736527043728,0.0,0.06611949549640465
Snrpe,0.0252441057394617,0.343145193299992,0.9699293482575216,0.002918788926437,0.0960539122894181,0.200389470638926,1.3997072815189373,1.4938086221178513,0.46797904810395463
Btg2,0.1349368897356513,0.5713582599031516,1.0,-0.1441372712113691,0.0691143061773454,0.2419632421839339,1.2243062593498777,1.2848005293885938,0.6540665227116926
Ptprc,0.0073033261887751,0.0473446058585377,0.1349368897356513,-0.2701061920549247,-0.2204107706124892,-0.1820137982568957,2.958228173404588,2.5405781962176475,0.10489793562443982
Rgs1,0.0802713616470359,0.2453774716711445,0.638981086850574,0.2076626810376881,2.00290994047144,30.39959020161094,0.3492702373568775,1.345944149675495,0.35613500934289044
Tpr,0.0029848376597602,0.015860919266492,0.1349368897356513,-0.2899911338204668,-0.1952003245762565,-0.096239317272773,1.783855911470455,1.5532234334114965,0.04646661903627841
Arpc5,0.0573787409700722,0.5713582599031516,1.0,-0.0766522534486656,0.0860333902501058,0.2376612848955105,1.2885691294098849,1.3653893040343523,0.6540665227116926
Ier5,0.0007335473709934,0.009501095540355,0.088567502575371,-29.710892049292447,-28.604550522007905,0.0,0.408157441133178,0.0,0.031240679763055043
4930523C07Rik,0.0775142426650912,0.4728549669282957,1.0,-28.570915345435083,1.0814382212624916,29.764678961386338,0.0,0.3263735675334185,0.586251220752793
Rabgap1l,0.0027786850681888,0.009501095540355,0.088567502575371,-29.09198041040324,-26.815136017096837,0.0,0.1180756310377617,0.0,0.031240679763055043
Gas5,0.0095014686036357,0.1349368897356513,0.6798328967214403,0.0028725136375537,0.1372504961117518,0.2719117802179832,1.4854677447618625,1.6385730526219375,0.22855477469143504
Prdx6,0.0123997777248551,0.2082876875446535,0.6238787012780821,0.0908769634942623,0.1782031883990281,0.3415915748965671,1.38879915700325,1.568638390444426,0.31322349971068614
Prrc2c,0.0252441057394617,0.3837421608319441,0.9699293482575216,-0.0214890477761618,0.0495317774118215,0.1380607941494608,1.936678070780275,2.004545344109715,0.5050583181665022
Pfdn2,0.0160894282812627,0.1569155794666105,0.7415983921509318,-29.8846577263438,-29.40547441025175,-0.8752508026539831,0.7240739986233312,0.0,0.25382458764435356
Arhgap30,0.0007335473709934,0.009501095540355,0.088567502575371,-29.559498155255834,-27.794637551492947,0.0,0.232819643418604,0.0,0.031240679763055043
Slamf6,0.0001720247930818,0.0007335473709934,0.0027786850681888,-30.3754477599844,-30.2456860732419,-29.87580172652818,1.2730889536607335,0.0,0.010361356615281776
Hnrnpu,0.015860919266492,0.3837421608319441,0.9699293482575216,-0.0722089546488653,0.0885241222607051,0.2790239252677096,1.3076545187543125,1.3895717829901,0.5050583181665022
H3f3a,0.0824958323410335,0.6238787012780821,1.0,-0.047206133347186,-0.0080276192638743,0.0281449270972055,2.5024040514245787,2.488469624129375,0.6835014580484251
Srp9,0.0946475624588327,0.5095606674005999,1.0,0.0145931031964361,0.1739547430632967,0.9144451921160194,1.0263147989859678,1.1523993386166027,0.6268467930231331
Fam107b,0.022796347982707,0.297075943320475,0.9078340000264986,-0.0154311844793224,0.1125315645152712,0.2686125563612083,1.1525673127503246,1.24958499696204,0.41738378537565846
